index;disc_number;duration_ms;id;name;track_number;uri;album;duration_s;acousticness;danceability;energy;key;tempo;time_signature;valence;mode
5;1;224533;5aNnhdQRegLBIPtRgzRRtG;Ganas De Ti;6;spotify:track:5aNnhdQRegLBIPtRgzRRtG;Vaivén;224.53333;0.537;0.616;0.188;7.0;76.91;4.0;0.612;1.0
6;1;180333;4Y4fyZgPEd0UgHjppsNuu7;Zamba Del Olvido;7;spotify:track:4Y4fyZgPEd0UgHjppsNuu7;Vaivén;180.33333;0.887;0.486;0.0416;4.0;170.689;4.0;0.429;1.0
7;1;157440;2iJ7QSL6bq6UgrMvvxzOT0;Un Lugar En Tu Almohada;8;spotify:track:2iJ7QSL6bq6UgrMvvxzOT0;Vaivén;157.44;0.765;0.803;0.289;5.0;91.682;4.0;0.95;1.0
8;1;159400;23a26XM1BQPvbg4PnJQiA8;La Luna De Espejos;9;spotify:track:23a26XM1BQPvbg4PnJQiA8;Vaivén;159.4;0.795;0.617;0.127;2.0;149.639;3.0;0.487;0.0
9;1;266000;5bPliWzRQhKfmcyPZcUJc6;Tu Voyeur;10;spotify:track:5bPliWzRQhKfmcyPZcUJc6;Vaivén;266.0;0.292;0.738;0.355;4.0;154.019;4.0;0.705;0.0
10;1;224200;4R5M4ZV9xGtnTRWVrjHQM7;Dos Colores: Blanco Y Negro;11;spotify:track:4R5M4ZV9xGtnTRWVrjHQM7;Vaivén;224.2;0.854;0.489;0.171;4.0;160.113;3.0;0.543;1.0
11;1;175026;5IDX3criNsV6KTvV5gTfa9;Vaivén;12;spotify:track:5IDX3criNsV6KTvV5gTfa9;Vaivén;175.02667;0.701;0.561;0.346;6.0;112.232;4.0;0.775;1.0
12;1;150266;6zNt5FcXZ6STPAtbgEXWeW;Ana;13;spotify:track:6zNt5FcXZ6STPAtbgEXWeW;Vaivén;150.26667;0.888;0.536;0.0541;2.0;122.37;3.0;0.235;1.0
0;1;231653;7pBoi7yWCPzn3UjeMsGKg6;Movimiento;1;spotify:track:7pBoi7yWCPzn3UjeMsGKg6;Salvavidas de hielo;231.65333;0.9;0.784;0.457;2.0;125.021;4.0;0.546;1.0
1;1;184963;7zSBOSD4w5LGv1bIblkVFp;Telefonía;2;spotify:track:7zSBOSD4w5LGv1bIblkVFp;Salvavidas de hielo;184.96354;0.829;0.915;0.592;6.0;126.06;4.0;0.841;0.0
2;1;207986;2gjB9GgSZFlj0YwItEACpQ;Silencio;3;spotify:track:2gjB9GgSZFlj0YwItEACpQ;Salvavidas de hielo;207.98667;0.263;0.887;0.568;4.0;127.923;4.0;0.127;0.0
3;1;182453;3cApCJqmVwE23cxYUADZpx;Pongamos que hablo de Martínez;4;spotify:track:3cApCJqmVwE23cxYUADZpx;Salvavidas de hielo;182.45333;0.893;0.849;0.458;9.0;119.95;4.0;0.461;1.0
4;1;261066;0R1P6xtRxAQRS0UMo4wkgg;Estalactitas;5;spotify:track:0R1P6xtRxAQRS0UMo4wkgg;Salvavidas de hielo;261.06667;0.797;0.772;0.63;0.0;136.019;4.0;0.909;1.0
5;1;183880;41gpbNDcsSh4r8YgVMbQqh;Asilo (feat. Mon Laferte);6;spotify:track:41gpbNDcsSh4r8YgVMbQqh;Salvavidas de hielo;183.88;0.808;0.502;0.239;0.0;127.484;5.0;0.367;1.0
6;1;218040;2mJYTwrs3lMTJ0Z2TXnbZZ;Abracadabras (feat. Julieta Venegas);7;spotify:track:2mJYTwrs3lMTJ0Z2TXnbZZ;Salvavidas de hielo;218.04;0.816;0.763;0.532;7.0;96.116;4.0;0.42;1.0
7;1;292293;7lc9tI9eS9ULnOdKTsBQ92;Mandato;8;spotify:track:7lc9tI9eS9ULnOdKTsBQ92;Salvavidas de hielo;292.29333;0.574;0.776;0.607;0.0;100.967;4.0;0.937;1.0
8;1;217413;2RiFT9ZJhR8jcBaz5Si7DC;Despedir a los glaciares;9;spotify:track:2RiFT9ZJhR8jcBaz5Si7DC;Salvavidas de hielo;217.41333;0.557;0.428;0.576;7.0;112.595;4.0;0.143;1.0
9;1;218520;5787WaGd5DQvL14A6SJ8cG;Quimera;10;spotify:track:5787WaGd5DQvL14A6SJ8cG;Salvavidas de hielo;218.52;0.894;0.831;0.486;11.0;87.023;4.0;0.427;0.0
10;1;209080;70LZISLWsPXGBn1bpJuYAU;Salvavidas de hielo (feat. Natalia Lafourcade);11;spotify:track:70LZISLWsPXGBn1bpJuYAU;Salvavidas de hielo;209.08;0.957;0.48;0.191;7.0;127.538;4.0;0.182;1.0
0;1;229973;3uXkVGwMiAvcoyNIOyuX4O;Tres mil millones de latidos;1;spotify:track:3uXkVGwMiAvcoyNIOyuX4O;Amar la trama;229.97333;0.0244;0.418;0.67;2.0;126.033;4.0;0.64;1.0
1;1;246013;563EHELbGcAwXlAHbWmK3f;La trama y el desenlace;2;spotify:track:563EHELbGcAwXlAHbWmK3f;Amar la trama;246.01333;0.0936;0.579;0.491;11.0;150.005;4.0;0.721;0.0
2;1;303080;6ngM4BI3VW2fe0SzQX7Ouw;Las transeuntes;3;spotify:track:6ngM4BI3VW2fe0SzQX7Ouw;Amar la trama;303.08;0.821;0.741;0.532;7.0;101.918;4.0;0.658;1.0
3;1;295866;4Gk58WahIU0EfGR6P0T8Tm;La nieve en la bola de nieve;4;spotify:track:4Gk58WahIU0EfGR6P0T8Tm;Amar la trama;295.86667;0.759;0.457;0.231;2.0;133.083;4.0;0.444;1.0
4;1;247320;3qMIrWWMKHNGKp8oyS2gQU;Mundo abisal;5;spotify:track:3qMIrWWMKHNGKp8oyS2gQU;Amar la trama;247.32;0.293;0.503;0.567;4.0;160.265;4.0;0.674;1.0
5;1;215240;5zFd5IZqmyJiTr5Zu1en2k;Toque de queda;6;spotify:track:5zFd5IZqmyJiTr5Zu1en2k;Amar la trama;215.24;0.759;0.473;0.175;9.0;105.357;4.0;0.305;1.0
6;1;203800;6U9keFxc2bgsC0zyRkfyEQ;Una cancion me trajo hasta aqui;7;spotify:track:6U9keFxc2bgsC0zyRkfyEQ;Amar la trama;203.8;0.0572;0.665;0.849;0.0;131.428;4.0;0.84;1.0
7;1;214253;1wYgb2WSoI95dYx2STlgDk;Aquiles por su talon es Aquiles;8;spotify:track:1wYgb2WSoI95dYx2STlgDk;Amar la trama;214.25333;0.776;0.523;0.282;9.0;132.44;4.0;0.317;1.0
8;1;258373;7zFiPc2fAPS5j7DPVISD6F;I don't worry about a thing;9;spotify:track:7zFiPc2fAPS5j7DPVISD6F;Amar la trama;258.37333;0.461;0.821;0.532;10.0;121.795;4.0;0.82;1.0
9;1;209520;4ZGBUBso8PeNxF9Qt1QGIV;Noctiluca;10;spotify:track:4ZGBUBso8PeNxF9Qt1QGIV;Amar la trama;209.52;0.824;0.409;0.204;9.0;87.537;3.0;0.491;1.0
10;1;181133;1mQrFtn8rd5bumihR8fAUR;Todos a sus puestos;11;spotify:track:1mQrFtn8rd5bumihR8fAUR;Amar la trama;181.13333;0.469;0.336;0.322;4.0;96.032;4.0;0.642;1.0
11;1;155200;3eliUpZq7Z9YFlAgdZTXFH;Telon;12;spotify:track:3eliUpZq7Z9YFlAgdZTXFH;Amar la trama;155.2;0.98;0.473;0.209;4.0;103.781;4.0;0.257;1.0
0;1;297973;3bgEz3NsFjabfbPN6DdOWN;Bienvenida;1;spotify:track:3bgEz3NsFjabfbPN6DdOWN;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);297.97333;0.54;0.789;0.532;0.0;112.732;4.0;0.904;1.0
1;1;221893;6k3fTbDyuULy9kYA7OShyK;La luna de espejos;2;spotify:track:6k3fTbDyuULy9kYA7OShyK;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);221.89333;0.93;0.712;0.225;5.0;87.52;4.0;0.429;1.0
2;1;301413;4ZejXkTaVyw3KffEcS86ix;Tatuaje;3;spotify:track:4ZejXkTaVyw3KffEcS86ix;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);301.41333;0.6;0.532;0.571;9.0;79.529;4.0;0.215;1.0
3;1;239360;3N9qP0bV95JnvDvicZCIKQ;Equipaje;4;spotify:track:3N9qP0bV95JnvDvicZCIKQ;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);239.36;0.928;0.785;0.393;4.0;126.776;4.0;0.333;1.0
4;1;177946;47uN75sZhcmhu947dzPkuo;Eden;5;spotify:track:47uN75sZhcmhu947dzPkuo;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);177.94667;0.921;0.643;0.311;6.0;137.278;4.0;0.773;1.0
5;1;276906;2Z3IaUbfcS8oqxmipQTkGh;La aparecida;6;spotify:track:2Z3IaUbfcS8oqxmipQTkGh;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);276.90667;0.853;0.539;0.372;7.0;147.078;3.0;0.313;1.0
6;1;220266;0Rdr3kKgd5I9XEpBfv4b2k;Un solo color;7;spotify:track:0Rdr3kKgd5I9XEpBfv4b2k;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);220.26667;0.793;0.56;0.484;9.0;136.74;4.0;0.61;0.0
7;1;170693;13wF870pnYuvSdrCHnqyvf;Vaiven;8;spotify:track:13wF870pnYuvSdrCHnqyvf;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);170.69333;0.902;0.696;0.388;4.0;155.018;3.0;0.539;1.0
8;1;266666;24KGYSlfrvBE5vkrANLNc4;Macarena y el espejo;9;spotify:track:24KGYSlfrvBE5vkrANLNc4;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);266.66667;0.96;0.416;0.242;0.0;161.452;4.0;0.214;0.0
9;1;242293;6EKhj17vbiLO1GqkC3vj7l;La luna del cabo;10;spotify:track:6EKhj17vbiLO1GqkC3vj7l;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);242.29333;0.629;0.629;0.586;7.0;114.8;4.0;0.168;1.0
10;2;247586;0sleOewdchPv0eTOHzlYEF;Radar;1;spotify:track:0sleOewdchPv0eTOHzlYEF;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);247.58667;0.199;0.575;0.771;2.0;77.394;4.0;0.696;1.0
11;2;231893;00BHbc5GB5d35gsi8IsmZl;No te creas;2;spotify:track:00BHbc5GB5d35gsi8IsmZl;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);231.89333;0.438;0.623;0.803;1.0;126.61;4.0;0.645;0.0
12;2;245666;3YydyZIRczWXL0nQUEZGDF;Tu voyeur;3;spotify:track:3YydyZIRczWXL0nQUEZGDF;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);245.66667;0.534;0.659;0.649;2.0;79.074;4.0;0.655;0.0
13;2;248786;0dRo66ociPHxfHs7oIJOfF;Caigua;4;spotify:track:0dRo66ociPHxfHs7oIJOfF;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);248.78667;0.267;0.348;0.626;7.0;144.392;4.0;0.18;1.0
14;2;242400;68BZKEbubHveyZ3CCGUFsI;Cerca del mar;5;spotify:track:68BZKEbubHveyZ3CCGUFsI;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);242.4;0.266;0.609;0.723;7.0;90.614;4.0;0.619;1.0
15;2;234493;5uBgPQG5E64d00USnp20cB;Gege;6;spotify:track:5uBgPQG5E64d00USnp20cB;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);234.49333;0.735;0.608;0.719;9.0;126.716;4.0;0.719;1.0
